,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Category,Desc
2389,0393315606,Morality Play,Barry Unsworth,1996,W. W. Norton & Company,Fiction,In fourteenth-century England a troupe of traveling players gathers information about a local murder and incorporates it into their play in hopes of drawing a larger audience
2390,0060936231,Soul Mountain,Gao Xingjian,2001,Perennial,,
2391,0449908798,Duplicate Keys,Jane Smiley,1993,Ballantine Books,Fiction,"When two men are murdered in her friend Susan's apartment, Alice becomes obsessed with the murders and concerned that the killer will strike again. Reprint."
2392,0446675059,The Honk and Holler Opening Soon,Billie Letts,1999,Warner Books,,
2393,0679774025,All over but the Shoutin',Rick Bragg,1998,Vintage Books USA,,
2394,1573222267,Blue Shoe,Anne Lamott,2002,Riverhead Books,,
2395,0316781010,Fortune's Rocks: A Novel,Anita Shreve,1999,Back Bay Books,Fiction,"At a turn-of-the-century coastal resort in New Hampshire, young Olympia Biddeford is drawn into an intense love affair with a much older man, John Haskell, a married physician and activist, an affair that has a profound and long-reaching impact on everyone around them. 75,000 first printing. Tour."
2396,0345460359,Drowning Ruth,CHRISTINA SCHWARZ,2003,Ballantine Books,Fiction,"This bestselling Oprah Book Club selection, now available in mass market paperback, paints a stunning portrait of the ties that bind two sisters together and explores themes of family love, sibling rivalry, duty, loyalty, and a possible murder."
2397,0064400018,Little House in the Big Woods,Laura Ingalls Wilder,1953,HarperTrophy,Juvenile Fiction,"Laura Ingalls's story begins in 1871 in a little log cabin on the edge of the Big Woods of Wisconsin. Four-year-old Laura lives in the little house with her Pa, her Ma, her sisters Mary and Carrie, and their trusty dog, Jack. Pioneer life is sometimes hard, since the family must grow or catch all their own food as they get ready for the cold winter. But it is also exciting as Laura and her folks celebrate Christmas with homemade toys and treats, do the spring planting, bring in the harvest, and make their first trip into town. And every night they are safe and warm in their little house, with the happy sound of Pa's fiddle sending Laura and her sisters off to sleep. And so begins Laura Ingalls Wilder's beloved story of a pioneer girl and her family. The nine Little House books have been cherished by generations of readers as both a unique glimpse into America's frontier past and a heartwarming, unforgettable story."
2398,0380698714,Sideways Stories from Wayside School (Wayside School),Louis Sachar,1985,HarperTrophy,Juvenile Fiction,"A Crazy Mixed-up School. There'd been a terrible mistake. Wayside School was supposed to be built with thirty classrooms one on top of the other...thirty stories tall! (The builder said he was very sorry.) That may be why all kinds of funny things happen at Wayside SChool...especially on the thirteenth floor. You'll meet Mrs. Gorf, the meanest teacher of all, terrible Todd, who always gets sent home early, and John who can read only upside down--along with all the other kids in the crazy mix-up school that came out sideways. But you'll never guess the truth about Sammy, the new kid...or what's in store for Wayside School on Halloween! There was a terrible mistake-Wayside School was built with one classroom on top of another, thirty stories high! (The builder said he was sorry.) Maybe that's why all kinds of funny things happened at Wayside-especially on the thirteenth floor."
2399,0385314280,When Elephants Weep: The Emotional Lives of Animals,Jeffrey Moussaieff Masson,1996,Delta,Nature,A study of the complex emotional lives of animals provides insights into and anecdotes about the existence of animal emotions and offers an analysis of the ways humans treat animals
2400,0345285859,Shibumi,Trevanian,1980,Not Avail,Assassins,"A survivor of the Hiroshima bombing, he is the world's most artful lover...and most accomplished assassin. His greatest desire is to attain the state of perfection called shibumi. But the most sinister enemy he has ever faced is bent on destroying him. Copyright © Libri GmbH. All rights reserved."
2401,0804102988,Sarum: The Novel of England,Edward Rutherford,1992,Ivy Books,Fiction,"Covering the entire course of English history, this epic follows five families that mirror the social and political forces that have shaped Britain--the Wilsons, the Masons, the Porteuses, the Shockleys, and the Godfreys"
2402,0440150167,Love and War,John Jakes,1985,Dell Publishing Company,Fiction,"The Hazard family of Pennsylvania and the Main family of South Carolina experience five years of sacrifice, corruption, courage, brutality, friendship and passion during the Civil War"
2403,0425154882,Carriers,Patrick Lynch,1996,Berkley Publishing Group,Fiction,A team of American biological warfare experts travels to Indonesia to investigate a plague-like outbreak
2404,0345404769,Silent Witness,RICHARD NORTH PATTERSON,1997,Ballantine Books,Fiction,"Years after being wrongfully accused of the murder of his first love, Alison, successful San Francisco attorney Tony Lord returns to Lake City, Ohio, to defend old friend Sam Robb, charged with killing one of his students, and must confront the buried secrets of the past. Reprint."
2405,0425158594,Demon Seed,Dean R. Koontz,1997,Berkley Publishing Group,Fiction,A computer with human-like qualities of artificial intelligence develops criminal obsessions and takes over the completely automated home of Susan Harris
2406,0448095017,"The Secret of the Old Clock (Nancy Drew Mystery Stories, No 1)",Carolyn Keene,1930,Grosset & Dunlap,Juvenile Fiction,Nancy Drew's keen mind is tested when she searches for a missing will.
2407,0446359688,Red Phoenix,Larry Bond,1990,Warner Books,Fiction,"This thundering geopolitical thriller dares reveal the military hardware, global upheavals, and raw combat that a second Korean War would unleash."
2408,0449902927,Feel the Fear and Do It Anyway,Susan Jeffers,1988,Ballantine Books,Self-Help,A psychotherapist shows how to identify fears and how to transform frustration and helplessness into power and create success in every apsect of life
2409,1558745017,Chicken Soup for the Christian Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1997,Health Communications,Religion,"Gathers stories and anecdotes concerning love, giving, parenting, faith, death, and overcoming obstacles"
2410,0440221099,Talk Before Sleep: A Novel,Elizabeth Berg,1995,Island,Fiction,"Cautious, conventional Anne shares a deep bond of friendship with the outspoken and eccentric Ruth, building an honest, open relationship that evolves into something deeper when Ruth is diagnosed with cancer"
2411,157322930X,High Maintenance,Jennifer Belle,2002,Riverhead Books,Fiction,Traces a young woman's unusual obsession with a Manhattan apartment after her marriage falls apart as she searches for a new place that she can call home while dealing with the manic ups and downs of the Manhattan real estate market.
2412,0060915188,An American Childhood,Annie Dillard,1988,Perennial,Biography &amp; Autobiography,"A book that instantly captured the hearts of readers across the country, An American Childhood is Pulitzer Prize-winning author Annie Dillard's poignant, vivid memoir of growing up in Pittsburgh in the 1950s."
2413,0425163407,Unnatural Exposure,Patricia Daniels Cornwell,1998,Berkley Publishing Group,Fiction,"In a number-one New York Times best-seller, detective Kay Scarpetta returns in a terrifying battle of wits against a vicious, saw-wielding killer no one can see. By the author of Cause of Death. Reprint."
2414,0671873199,All That Glitters (Landry),V.C. Andrews,1995,Pocket,Fiction,"Deciding to marry her wealthy childhood sweetheart in order to give her daughter a legitimate name, Ruby tries to put an unhappy past behind her, until her vindictive twin sister arrives to make trouble. Simultaneous."
2415,0515099546,The Cat Who Sniffed Glue,Lilian Jackson Braun,1996,Jove Books,Fiction,Jim Qwillerman and his feline sleuthing companions search for a motive to the murder of Harley Fitch and his pregnant wife Belle in the isolated community of Picka
2416,0812542835,Reliquary,Douglas Preston,1998,Tor Books,Fiction,"Reliquary is the smash hit second book in the Pendergast series, from New York Times bestselling authors Douglas Preston and Lincoln Child Hidden deep beneath Manhattan lies a warren of tunnels, sewers, and galleries, mostly forgotten by those who walk the streets above. There lies the ultimate secret of the Museum Beat. When two grotesquely deformed skeletons are found deep in the mud off the Manhattan shoreline, museum curator Margo Green is called in to aid the investigation. Margo must once again team up with police lieutenant D'Agosta and FBI agent Pendergast, as well as the brilliant Dr. Frock, to try and solve the puzzle. The trail soon leads deep underground, where they will face the awakening of a slumbering nightmare... in Reliquary, from bestselling coauthors Douglas Preston and Lincoln Child."
2417,0553575937,Jane and the Unpleasantness at Scargrave Manor: Being the First Jane Austen Mystery (Jane Austen Mysteries (Paperback)),Stephanie Barron,1997,Bantam Books,Fiction,"Visiting the estate of her friend Isobel, the newly married Countess of Scargrave, Jane Austen is drawn into a mystery when Isobel's husband dies suspiciously and the bereaved young bride is implicated in the murder"
2418,0743410181,Temptation,Jude Deveraux,2001,Pocket Books,Fiction,"New York City, 1909: A woman ahead of her time, Temperance O'Neil is happily married to her work -- helping single mothers on the city streets -- which she funds with her inheritance. When her disapproving stepfather, Angus McCairn, cuts off her income, an infuriated Temperance has no choice but to do as he commands: live, as a proper unmarried lady, in the family's home in Edinburgh. She soon strikes up a bargain with the elder McCairn to win her passage home by agreeing to Þnd a wife for his nephew, James -- a task few would dare undertake. A brusque, strapping man, James McCairn has little use for the new ""housekeeper"" on his Highlands farm -- though the place could surely use a woman's touch. But as she attempts to match James with his ideal mate, Temperance makes a surprising discovery: behind his gruff exterior is a kind, intelligent, caring soul. And his perfect match may surprise Temperance most of all.... Includes an excerpt from The Summerhouse, Jude Deveraux's splendid new novel!"
2419,0671502522,A Holiday Of Love,Judith McNaught,1994,Pocket,Fiction,"A romance anthology includes four holiday short stories that feature the historical and contemporary works of Judith McNaught, Jude Deveraux, Jill Barnette, and Arnette Lamb"
2420,0671744623,The Heiress,Jude Deveraux,1995,Pocket,Fiction,"Jamie Montgomery, an impoverished Elizabethan knight, is elated when he is assigned to escort Axia, the Lancaster heiress, to the castle of her betrothed. If only she will fall in love with Jamie 00 as Jamie's devoted older sister predicts 00 the family's financial woes will be solved. But Axia, who has spent her life closely guarded by her father's servants, is not the shy, cossetted flower Jamie expects. She's a hoyden, hell-bent on enjoying her precious moments of liberty before her marriage to a man chosen by her remote, eccentric father. After curtly informing Jamie not to bother declaring his love for her -- as all poor, handsome men seem wont to do -- Axia makes his life a misery, sneaking off to the marketplace, nearly breaking her neck on a runaway horse, and doing everything possible to delay the trip. Though she dare not admit it, even to herself, Axia dreads being wed to a stranger. Suddenly Jamie realizes that he savors even her most barbed words life the rarest nectar..that he is falling desperately in love with this bold, maddening beauty. Now he must contrive a daring plan to win her freedom -- and win her proud, defiant heart for his own!"
2421,0330294911,Man Who Mistook His Wife for a Hat,Oliver Sacks,1994,Pan Books Ltd,,
2422,0142002798,"Mary, Called Magdalene",Margaret George,2003,Penguin Books,Fiction,Draws on the Bible and secular historical research to present a fictional portrait of Mary Magdalen as she becomes part of Jesus's disciple circle and comes into a realization of her faith. Reprint.
2423,0451160533,She Who Remembers,Linda Lay Shuler,1989,Signet Book,Fiction,"Kwani, an Anasazi Indian beauty, provokes the romantic interest of Kokopelli, a Toltec magician; Thorvald, the rapacious Viking; Okalake, son of an Anasazi chief; and Tolonqua, a Towa hunter with whom Kwani shares a mystic vision. Reissue."
2424,0395927218,The Namesake,Jhumpa Lahiri,2003,Houghton Mifflin Company,Fiction,"An incisive portrait of the immigrant experience follows the Ganguli family from their traditional life in India through their arrival in Massachusetts in the late 1960s and their difficult melding into an American way of life, in a debut novel that spans three decades, two continents, and two generations. By the Pulitzer Prize-winning author of Interpreter of Maladies. 150,000 first printing."
2425,037576092X,Autobiography of a Fat Bride : True Tales of a Pretend Adulthood,LAURIE NOTARO,2003,Villard,Biography &amp; Autobiography,"A selection of autobiographical essays, stories, and anecdotes provides a look at the pitfalls and pains of trying to live a grown-up life, contemplating such topics as children, home improvement, religion, and cosmetic saleswomen."
2426,0515133876,Narcissus in Chains (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2002,Jove Books,,
2427,081257558X,"Winter's Heart (The Wheel of Time, Book 9)",Robert Jordan,2002,Tor Books,,
2428,0553212737,Emma,JANE AUSTEN,1984,Bantam,Fiction,"The most perfect of Jane Austen’s perfect novels begins with twenty-one-year-old Emma Woodhouse comfortably dominating the social order in the village of Highbury, convinced that she has both the understanding and the right to manage other people’s lives–for their own good, of course. Her well-meant interfering centers on the aloof Jane Fairfax, the dangerously attractive Frank Churchill, the foolish if appealing Harriet Smith, and the ambitious young vicar Mr. Elton–and ends with her complacency shattered, her mind awakened to some of life’s more intractable dilemmas, and her happiness assured. Jane Austen’s comic imagination was so deft and beautifully fluent that she could use it to probe the deepest human ironies while setting before us a dazzling gallery of characters–some pretentious or ridiculous, some admirable and moving, all utterly true. (Book Jacket Status: Jacketed) From the Hardcover edition."
2429,055356983X,Anne Frank's Tales from the Secret Annex,Anne Frank,1994,Bantam Books,Amsterdam (Netherlands),"A collection of the young author's lesser-known writings includes short stories, fables, personal reminiscences, previously deleted excerpts from her diary, and an unfinished novel composed while she was hidden from the Nazis during World War II."
2430,0330352695,Four Letters of Love,Niall Williams,1994,Pan Books Ltd,Ireland,"Nicholas Coughlan and Isabel Gore were made for each other - but fate doesn't always take the easiest or the most obvious route to true love. For a start, Nicholas and Isabel have never met and nor are they likely to, without some kind of divine intervention. This title offers a story about faith, believing in your instincts and acting on impulse."
2431,0684849690,The SECRET DIARY OF ANNE BOLEYN,Robin Maxwell,1998,Touchstone,Fiction,"Upon her coronation as Queen, Elizabeth I receives her mother Ann Boleyn's diary and learns of her love for her and her torment at the hands of Henry VIII"
2432,0425195449,Naked Prey (Prey),John Sandford,2004,Berkley Publishing Group,Fiction,"Moving with his boss to state-level cases, Lucas Davenport, having recently become the head of a family, investigates the hanging deaths of an African American man and a white woman, a case that proves more complicated than it appears. Reprint."
2433,2290311782,Je Voudrais Que Quelqu'un M'Attende Quelque Part,Anna Gavalda,2001,Editions J'Ai Lu,,
2434,0141301104,The Witches (Puffin Novels),Roald Dahl,1998,Puffin Books,Juvenile Fiction,"A young boy and his Norwegian grandmother, who is an expert on witches, together foil a witches' plot to destroy the world's children by turning them into mice."
2435,0425174344,Local Girls,Alice Hoffman,2000,Berkley Publishing Group,Fiction,"An anthology of interconnected short stories captures the lives and destinies of the Samuelsons, a family struggling with tragedy and divorce, in a series of portraits that chronicle Gretel Samuelson's journey through betrayal, grief, conflicting loyalties, friendship, and loss. Reprint."
2436,0671027581,Open Season,Linda Howard,2002,Pocket,Fiction,"Small-town librarian Daisy Minor is tired of not having a life and sets out to transform herself, but her plans go awry when she witnesses a deadly crime and becomes the target of a killer who will do anything to keep her quiet."
2437,1573229725,Fingersmith,Sarah Waters,2002,Riverhead Books,Fiction,"Growing up as a foster child among a family of thieves, orphan Sue Trinder hopes to pay back that kindness by playing a key role in a swindle scheme devised by their leader, Gentleman, who is planning to con a fortune out of the naive Maud Lily, but Sue's growing pity for their helpless victim could destroy the plot. By the author of Tipping the Velvet. Reprint."
2438,0671534726,Heart Song (Logan),V.C. Andrews,1997,Pocket,Fiction,"From #1 bestselling author V.C. Andrews (Flowers in the Attic, My Sweet Audrina) comes the second book in the captivating Logan series... Melody Logan was as alone as a solitary gull, with only the wild Atlantic wind to lift her spirits... When Melody Logan's mother died in a car accident, Melody lost the last shred of family she had ever known. She was practically a stranger to the Logans, her wealthy relatives on Cape Cod, where she now drifted on a sea of dark secrets. In the eyes of gentle Aunt Sara, Melody was a replacement for her dead daughter, while for Uncle Jacob she was a reminder of the family's shameful past. Only good-hearted Cary seemed to care, and since it was revealed that she and Cary weren't truly cousins, the affection that had always surged between them now crested in thrilling waves. But Melody knew she could never truly echo Cary's loving promises until she discovered her own buried identity. Despite Grandma Olivia's dagger-like threats, Melody sought out Belinda, a mysterious, half-crazy woman who was her real grandmother. Belinda gave Melody hope — and a glimmer of the pearls of truth she knew were hidden in the shifting Cape Cod sands. Somehow, someday, the story of her past would be her hard-won treasure, to be savored in a world of sunshine and happiness...where she truly belonged."
2439,0671873202,Hidden Jewel (Landry),V.C. Andrews,1995,Pocket,Fiction,"When one of her brothers dies and her other brother falls seriously ill, pre-med student Pearl Andreas begins a desperate search for her missing mother that takes her from her privileged New Orleans life to her Cajun roots. Simultaneous."
2440,0671007637,Runaways (Orphans),V.C. Andrews,1998,Pocket,Fiction,"The spellbinding Orphans series concludes in this thrilling new novel from V.C. Andrews®... ""All for one and one for all"" was the girls' motto. In the grim foster home for orphans run by Louise and Gordon Tooey, at least Brooke, Crystal, Raven, and Butterfly had each other. Calling themselves ""sisters,"" together they could forget the past and dream of a new chance...a real home. Then they discovered a secret even more haunting than Gordon's heavy boots pounding on the wooden floors. Their fragile hopes of a better life shattered, they escaped the only way they could. Soon they were runaways in a borrowed car, desperately wishing to wake up one morning in a place of sunshine and love. Raven hoped to be a singer, Butterfly wanted to be a dancer, Crystal planned for college, and Brooke privately hoped to find her mother in California. On the open road the chains of sadness that had bound them seemed to melt away, and the kindness of strangers made a secure future seem almost real. But the highway was a dangerous place, and soon they were penniless and more vulnerable than ever. Alone under the wide western sky, they had only each other to ask if they should give up their dreams...or if they were really halfway to a haven of safety and happiness...."
2441,0671534734,Unfinished Symphony (Logan),V.C. Andrews,1997,Pocket,Fiction,"Melody Logan had only just found a safe harbor when a new storm set her adrift all over again.... Melody had always believed her mother, Haille, and dear stepdaddy had died in tragic accidents -- that's why she'd come to stay with her secretive Logan relatives on Cape Cod. But then a friend recognized Haille's picture in a catalog and kindled Melody's hopes. Maybe her mother hadn't perished in a fire in California after all, but was in some desperate trouble that kept her out of reach.... Melody's dream of finding her mother seemed as flimsy as the scrap of paper that was her only clue. And despite the pampered life Melody was offered as a guest in a Beverly Hills mansion, nothing could soften the blow of the moment she stood face-to-face with her mother and saw her eyes turn dark and cold as stones. Melody knew there must be a reason why her mother pretended at first not to recognize her -- and why she'd even faked her own death. Though Melody's beloved Cary beckoned from Cape Cod, she felt in her heart that her mother needed her now more than ever. And beneath her mother's unkept promises and tattered fantasies, Melody hoped to unearth the truth about her own past, and find her way to a safer, better place...where she could embrace a bright new future of her own."
2442,0671534742,Music in the Night (Logan),V.C. Andrews,1998,Pocket,Fiction,"A young woman's summer idyll on Cape Cod with a handsome lover ends in tragedy, thanks to a name from her family's shameful, hidden past"
2443,0425136981,Shadowfires,Dean R. Koontz,1994,Berkley Publishing Group,Fiction,"After her husband's mangled corpse disappears from the morgue, Rachel is stalked by a mysterious stranger who is seeking revenge on her"
2444,0380599236,Spring Moon: A Novel of China,Bette Lord,1982,Avon Books,Gambling,Ronnie tries to fix the state championship soccer game to pay his debt to his bookie.
2445,0440224780,The Ranch,DANIELLE STEEL,1998,Dell,Fiction,"The author's thirty-ninth best-selling novel explores the lifelong bond joining three women whose lives take dramatically different turns, and whose hopes and dreams intersect one summer at a ranch. By the author of The Ghost. Reprint."
2446,0446671002,The Celestine Prophecy,James Redfield,1995,Warner Books,Fiction,"THE #1 BESTSELLING INTERNATIONAL PHENOMENON - NOW WITH A NEW PREFACE You have never read a book like this before--a book that comes along once in a lifetime to change lives forever. In the rain forests of Peru, an ancient manuscript has been discovered. Within its pages are 9 key insights into life itself -- insights each human being is predicted to grasp sequentially; one insight, then another, as we move toward a completely spiritual culture on Earth. Drawing on ancient wisdom, it tells you how to make connections among the events happening in your life right now and lets you see what is going to happen to you in the years to come. The story it tells is a gripping one of adventure and discovery, but it is also a guidebook that has the power to crystallize your perceptions of why you are where you are in life and to direct your steps with a new energy and optimism as you head into tomorrow. Praise for The Celestine Prophecy ""A gripping adventure story filled with intrigue, suspense, and spiritual revelations."" - Commonwealth Journal ""A spiritual classic...a book to read and reread, to cherish, and to give to friends."" - Joan Borysenko, PhD, author of Fire in the Soul ""In his inimitable style of great storytelling, Redfield opens us up to a world of insight, inspiration, synchronicity, and power."" - Deepak Chopra"
2447,0590453653,"Welcome to Dead House (Goosebumps, No 1)",R. L. Stine,1995,Scholastic,Botany,"After moving to Dark Falls, Amanda and Josh learn the horrible truth about the town."
2448,0812971043,The Dante Club : A Novel,MATTHEW PEARL,2004,Random House Trade Paperbacks,,
2449,0385509510,Under the Banner of Heaven : A Story of Violent Faith,JON KRAKAUER,2003,Doubleday,Religion,"Traces the 1984 murder of a woman and her child by fundamentalist Mormons, exploring the belief systems and traditions that mark the faith's most extreme factions and what their practices reflect about the nature of religion in America."
2450,0804115761,Thousand Acres,JANE SMILEY,1996,Ivy Books,,
2451,8807813025,"Novocento, Un Monologo",Alessandro Baricco,2003,Distribooks Inc,Fiction,"Il Virginian era un piroscafo. Negli anni tra le due guerre faceva la spola tra Europa e America, con il suo carico di miliardari, di emigranti e di gente qualsiasi. Dicono che sul Virginian si esibisse ogni sera un pianista straordinario, dalla tecnica strabiliante, capace di suonare una musica mai sentita prima, meravigliosa. Dicono che la sua storia fosse pazzesca, che fosse nato su quella nave e che da lì non fosse mai sceso. Dicono che nessuno sapesse il perché. In forma di monologo, il primo testo teatrale di Alessandro Baricco."
2452,0449219399,Murder at the National Cathedral (Capital Crime Mysteries),Margaret Truman,1992,Fawcett Books,Fiction,"Law professor and amateur sleuth Mac Smith and his lovely partner, Annabel Reed, investigate the killing of a controversial priest during a funeral for the attorney general at the National Cathedral"
2453,0441001416,Lyon's Pride (Rowan),Anne McCaffrey,1995,Ace Books,Fiction,"Inheriting their family's paranormal powers that enable them to protect the peaceful people of their world, the children of Damia and Afra Lyon encounter a new enemy in the Hivers, an alien race that is bent on destruction. Reprint. AB. PW."
2454,0553564927,"The Last Command (Star Wars: The Thrawn Trilogy, Vol. 3)",Timothy Zahn,1998,Bantam,Fiction,"In possession of a secret that could topple an empire, Marianna Sanders flees from her arrogant guardian Jordan Draken, who is determined to wrest that secret from her. Original."
2455,0451410378,The Silent Bride (April Woo Suspense Novels (Paperback)),Leslie Glass,2002,Onyx Books,Fiction,"With the wedding of her own close friend rapidly approaching, NYPD detective April Woo and her partner, homicide specialist Mike Sanchez, race against time to find a madman who is targeting New York City's glamorous young brides, cutting them down in the midst of the wedding ceremony. Original."
2456,1573227889,Tipping the Velvet,Sarah Waters,2000,Riverhead Books,Fiction,"Chronicles the picturesque adventures and romantic misadventures of Nan King, a onetime oyster girl from a provincial seaside town who follows a local music hall star to the gay and lesbian world of late Victorian London. Reprint."
2457,0553285920,Silent Partner (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1990,Bantam Books,Child psychologists,"Jonathan Kellerman's popular psychologist-detective, Dr. Alex Delaware, returns in a superb thriller of childhood terror and family secrets that will have enormous appeal for Kellerman fans."
2458,0345430514,"Another City, Not My Own: A Novel in the Form of a Memoir",Dominick Dunne,1999,Ballantine Books,Fiction,"In a fictional rendering of the O.J. Simpson trial, based on the author's inside coverage of the case, writer Gus Bailey offers a dramatic account of the murders that shocked America, while confronting the concept of his own mortality"
2459,0061097853,The First Eagle (Jim Chee Novels),Tony Hillerman,1999,HarperTorch,Fiction,"When Acting Lt. Jim Chee catches a Hopi poacher huddled over a butchered Navajo Tribal police officer, he has an open-and-shut case--until his former boss, Joe Leaphorn, blows it wide open. Now retired from the Navajo Tribal Police, Leaphorn has been hired to find a hot-headed female biologist hunting for the key to a virulent plague lurking in the Southwest. The scientist disappeared from the same area the same day the Navajo cop was murdered. Is she a suspect or another victim? And what about a report that a skinwalker--a Navajo witch--was seen at the same time and place too? For Leaphorn and Chee, the answers lie buried in a complicated knot of superstition and science, in a place where the worlds of native peoples and outside forces converge and collide."
2460,0553271369,The Lords of Discipline,Pat Conroy,1986,Bantam Books,Fiction,"Dramatically interweaves themes of brotherhood and betrayal as senior cadet, Will McLean, courageously struggles to forge his own honor code and manhood in a regimented, venerable, but corrupt Southern military academy"
2461,0671867091,Remember Me,Mary Higgins Clark,1995,Pocket,Fiction,"A killer turns a young family's dream holiday into an unfathomable nightmare....Menley Nichols and her husband, Adam, a criminal attorney, rent a house on Cape Cod, in the hope of restoring their faltering marriage. The birth of their daughter, Hannah, has revitalized their relationship, but Menley has never stopped blaming herself for the accidental death of her two-year-old son. The serenity of the Cape promises a new start. In Remember House, an eighteenth-century landmark with a sinister past, strange incidents force Menley to relive the accident that killed her son, and she begins to fear for Hannah's safety. Then Adam takes on a client suspected of murder when his wealthy young bride of only three months drowns in a storm -- and the family is drawn into a rising tide of terror. A confrontation on a dark, rain-swept beach leads to a harrowing climax that only Mary Higgins Clark could have created."
2462,0590487922,Zlata's Diary: A Child's Life in Sarajevo,Zlata Filipovic,1994,Scholastic Inc,Children and war,Diary accounts present the true-life experiences of eleven-year-old Zlata Filipovic as she sees her peaceful life in Sarajevo gradually change as the war in her country advances.
2463,0425147517,The Key to Midnight,Dean R. Koontz,1995,Berkley Publishing Group,Fiction,"Millionaire investigator Alex Hunter meets exciting, desirable Joanna Rand while on a mission in Japan but finds that she is a Senator's daughter who disappeared 10 years ago and now has a new identity. By a #1 best-selling author. Reissue."
2464,0345386108,Winter Moon,Dean R. Koontz,1995,Ballantine Books,Fiction,"Realizing that he is the only link between a Hollywood director's Los Angeles killing spree and the chilling visions of a Montana ranch caretaker, police officer Jack McGarvey finds himself drawn into a confrontation with an evil force. Reissue."
2465,0671795554,Remember When,Judith McNaught,1997,Pocket,,
2466,0515130044,The Attorney,Steve Martini,2001,Jove Books,Fiction,"When a grandfather is falsely accused of sexual abuse by his drug-addict daughter, who hopes to win back custody of her child from the elderly man, attorney Paul Madriani intervenes to protect him. Reprint."
2467,038072118X,Where is Joe Merchant?,Jimmy Buffett,1993,Avon,Fiction,"Fleeing the creditors who own his plane, Frank Bama heads for Cuba, where he meets up with an heiress to a hemorrhoid-ointment fortune and investigates the disappearance of her rock-star brother"
2468,0446608009,The Drowning People,Richard Mason,2000,Warner Vision,Fiction,"A past based on the betrayal of a friend leads to revenge and murder in the life of James Farrell, a musician whose overwhelming love for the beautiful aristocrat Ella Harewood leads him into an intense love affair that defies the proper standards of English society. A first novel. Reprint."
2469,0553576798,The Other Daughter,LISA GARDNER,1999,Bantam,Fiction,Twenty-nine-year-old Melanie Stokes' search for her true identity leads her to distrust the seemingly loving parents who adopted her
2470,038550117X,Disobedience,Jane Hamilton,2000,Doubleday Books,Fiction,Chicago private school student Henry stumbles onto the e-mail account he set up for his mother and inadvertently discovers she is having an affair with a violin maker wholly different from Henry's socialist history teacher father. By the author of A Map of the World and The Book of Ruth.
2471,1400030927,Jennifer Government,MAX BARRY,2004,Vintage,Fiction,"In a corporate-governed future world where people take the last names of the companies they work for, Hack Nike tries to get out of a contract that requires him to shoot teenagers and finds himself pursued by a government agent."
2472,038549744X,English Passengers,Matthew Kneale,2001,Anchor Books/Doubleday,,
2473,0345446666,Death in Holy Orders : An Adam Dalgliesh Mystery,P.D. JAMES,2002,Fawcett,Fiction,"The untimely death of a young priest in training draws Commander Adam Dalgliesh back to East Anglia to investigate at the request of the young man's father, as Dalgliesh finds himself drawn into a complex and violent mystery."
2474,0553255762,Maya Angelou: Poems,MAYA ANGELOU,1996,Bantam,Poetry,"Deals with love, death, nature, the past, sorrow, self-image, street life, memories, aging, men and women, childhood, racism, and writers"
2475,0671690094,ANNE FRANK: DIARY OF A YOUNG GIRL,Anne Frank,1989,Pocket,Biography &amp; Autobiography,Journal of a Jewish teenager describes the joys and torments of daily life and typical adolescent thoughts throughout two years spent in hiding with her family during the Nazi occupation of Holland.
2476,0446611921,The Millionaires,Brad Meltzer,2002,Warner Vision,Fiction,"Brothers Charlie and Oliver Caruso, who are employed at the exclusive private bank of Greene &amp; Greene, cannot resist the offer of taking $3,000,000 from an abandoned account, forcing them to run from the Secret Service."
2477,0380710722,It's Always Something,Gilda Radner,1990,Avon,,
2478,0679776591,Fugitive Pieces,Anne Michaels,1998,Vintage Books USA,Fiction,"A young orphan smuggled out of Poland during World War II, poet Jakob Beer, comes to understand the extraordinary power of language to destroy, restore, and witness as he struggles to cope with both grief and the healing of memory"
2479,0671000314,FLOOD TIDE,Clive Cussler,1998,Pocket Books,Fiction,"Rescuing a beautiful undercover agent, Dirk Pitt is unwittingly embroiled in the plot of Qin Shang, a ruthless smuggler who threatens to kill hundreds of innocent people to recover a mysterious cargo of a ship sunk fifty years earlier. Reprint."
2480,0517703963,Midwives,Chris Bohjalian,1997,Random House~trade,,
2481,0380710811,The First Man in Rome,Colleen McCullough,1991,Avon,,
2482,0066209773,"The Master Butchers Singing Club : A Novel (Erdrich, Louise)",Louise Erdrich,2003,HarperCollins,Fiction,"Returning to his quiet German village home after World War I, trained killer Fidelis Waldvogel, accompanied by his new wife, starts a new life in America and finds his life irrevocably changed by a new relationship. 100,000 first printing."
2483,1558746226,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications,Religion,"A collection of inspirational true stories about love, marriage, friendship, overcoming obstacles, and achieving life dreams"
2484,0375506276,The Fourth Hand,JOHN IRVING,2001,Random House,Fiction,"When a New York journalist suffers a horrible accident--his left hand eaten by a lion while reporting on a story from India--witnessed by millions on television, viewers rally to help him, in this satiric farce that looks at the power of second chances and the will to change. 300,000 first printing."
